"geolocation_zip_code_prefix","lat","lng","city","state"
"01001","-23.55018977655176500000","-46.63402355590421400000","sao paulo","SP"
"01002","-23.54814573176355000000","-46.63497921074498000000","sao paulo","SP"
"01003","-23.54899372481315500000","-46.63573130997587000000","sao paulo","SP"
"01004","-23.54979884227700300000","-46.63475694378971000000","sao paulo","SP"
"01005","-23.54945619983075000000","-46.63673294803691000000","sao paulo","SP"
"01006","-23.55010181145286600000","-46.63613673517417600000","sao paulo","SP"
"01007","-23.55004620235166600000","-46.63725145963765000000","sao paulo","SP"
"01008","-23.54600174938346400000","-46.63588592135779000000","sao paulo","SP"
"01009","-23.54683520832085400000","-46.63649069531220400000","sao paulo","SP"
"01010","-23.54638943836926800000","-46.63522608150904600000","sao paulo","SP"
"01011","-23.54690864025111000000","-46.63558202636040000000","sao paulo","SP"
"01012","-23.54778973314686000000","-46.63485900505736000000","são paulo","SP"
"01013","-23.54714202832390400000","-46.63423580006205000000","sao paulo","SP"
"01014","-23.54591280569042400000","-46.63361537124493600000","sao paulo","SP"
"01015","-23.54766574938347600000","-46.63155857072267500000","sao paulo","SP"
"01016","-23.54897640702994400000","-46.63235192955855000000","sao paulo","SP"
"01017","-23.54953127194785600000","-46.63102384555222000000","são paulo","SP"
"01018","-23.55092851790901000000","-46.63243146837754000000","sao paulo","SP"
"01019","-23.55177413780758800000","-46.63089338270139000000","sao paulo","SP"
"01020","-23.55233565155141700000","-46.63004970984574000000","são paulo","SP"
"01021","-23.54300045906480300000","-46.63214323386248600000","sao paulo","SP"
"01022","-23.54492182615342700000","-46.63193133561194500000","sao paulo","SP"
"01023","-23.54233078436145700000","-46.63137340438762000000","sao paulo","SP"
"01024","-23.54140143278026000000","-46.62990400057277000000","são paulo","SP"
"01025","-23.54029194567633400000","-46.63092805941944600000","sao paulo","SP"
"01026","-23.53965712727095600000","-46.63188421270581000000","são paulo","SP"
"01027","-23.53808232838533600000","-46.63066867506779500000","sao paulo","SP"
"01028","-23.53593254118053600000","-46.63355514575825000000","sao paulo","SP"
"01029","-23.54137304898053500000","-46.63341598844302600000","sao paulo","SP"
"01030","-23.53954929175342800000","-46.63302325151353000000","são paulo","SP"
"01031","-23.54190585344044700000","-46.63508761691669000000","sao paulo","SP"
"01032","-23.54012445455996500000","-46.63519354379767600000","sao paulo","SP"
"01033","-23.53927143707780000000","-46.63587808421484000000","sao paulo","SP"
"01034","-23.54251531741994800000","-46.63736744880089400000","sao paulo","SP"
"01035","-23.54161448873895800000","-46.64154914252655000000","sao paulo","SP"
"01036","-23.54164845233628600000","-46.64144327735931500000","sao paulo","SP"
"01037","-23.54541101645408600000","-46.63892437204837000000","sao paulo","SP"
"01038","-23.54390737962768000000","-46.63999380609390500000","sao paulo","SP"
"01039","-23.54137085777194000000","-46.63916528885119000000","sao paulo","SP"
"01040","-23.54102817900882600000","-46.63832469496940500000","sao paulo","SP"
"01041","-23.54390458746036000000","-46.64004648644472400000","sao paulo","SP"
"01042","-23.54485294953174800000","-46.64041045603169500000","sao paulo","SP"
"01043","-23.54576599118638200000","-46.64150246454140400000","são paulo","SP"
"01044","-23.54559823842341600000","-46.64145267015316400000","sao paulo","SP"
"01045","-23.54234536617856200000","-46.64252697570119000000","sao paulo","SP"
"01046","-23.54593003916878800000","-46.64399751778190000000","sao paulo","SP"
"01047","-23.54618760708176000000","-46.64106743356166000000","sao paulo","SP"
"01048","-23.54711318884073000000","-46.63983987489637400000","são paulo","SP"
"01049","-23.54701123674600200000","-46.63916570493306000000","sao paulo","SP"
"01050","-23.54922916358051700000","-46.64303023455155000000","sao paulo","SP"
"01101","-23.52828686037821300000","-46.63195753503104000000","sao paulo","SP"
"01102","-23.52557140695573400000","-46.63028748439393000000","são paulo","SP"
"01103","-23.53546844605214000000","-46.63029077338346400000","são paulo","SP"
"01104","-23.53495216536853700000","-46.62957039061348000000","sao paulo","SP"
"01105","-23.53409398177586000000","-46.62907768017333000000","sao paulo","SP"
"01106","-23.53022077513783000000","-46.62822125953080000000","sao paulo","SP"
"01107","-23.52608789203136700000","-46.62958988718660400000","sao paulo","SP"
"01108","-23.52723217132549400000","-46.63035441819986500000","sao paulo","SP"
"01109","-23.52462489958764600000","-46.62710324336056500000","sao paulo","SP"
"01120","-23.53016252975311300000","-46.63951141166310000000","sao paulo","SP"
"01121","-23.52786665899882000000","-46.63525692049286400000","sao paulo","SP"
"01122","-23.53113059653861300000","-46.63832482614190400000","são paulo","SP"
"01123","-23.52916454371060000000","-46.63658239267473000000","sao paulo","SP"
"01124","-23.52822123382574300000","-46.63309540109692000000","sao paulo","SP"
"01125","-23.52728844957163500000","-46.64016432350875000000","sao paulo","SP"
"01126","-23.52706654933755800000","-46.63915278680840000000","sao paulo","SP"
"01127","-23.52548080336662700000","-46.64159548852642000000","sao paulo","SP"
"01128","-23.52378673865714700000","-46.64220966455255000000","sao paulo","SP"
"01129","-23.52405138546438200000","-46.64507304012996500000","sao paulo","SP"
"01130","-23.52483082086712300000","-46.64492992157745000000","sao paulo","SP"
"01131","-23.52237973767103000000","-46.64310784736644000000","sao paulo","SP"
"01132","-23.52153987930432800000","-46.64873923331726000000","sao paulo","SP"
"01133","-23.52042428170985000000","-46.65332230946677000000","sao paulo","SP"
"01134","-23.51889993987827800000","-46.65269033643668000000","são paulo","SP"
"01135","-23.52619042672919400000","-46.65097004120221400000","sao paulo","SP"
"01136","-23.52398692018172700000","-46.66135135045781000000","são paulo","SP"
"01137","-23.52285148032211400000","-46.65280923153936000000","são paulo","SP"
"01138","-23.52245582393925000000","-46.65525390366422000000","sao paulo","SP"
"01139","-23.52072495607175300000","-46.66593897144170500000","sao paulo","SP"
"01140","-23.52043844370903300000","-46.66923716844040000000","sao paulo","SP"
"01141","-23.52031032590555000000","-46.66643901391753000000","são paulo","SP"
"01142","-23.51993430515264200000","-46.62513002179660000000","sao paulo","SP"
"01144","-23.52357274929584000000","-46.67242459028444000000","sao paulo","SP"
"01150","-23.53295302359727600000","-46.65824594266136000000","sao paulo","SP"
"01151","-23.53164158468372000000","-46.65628875324909000000","sao paulo","SP"
"01152","-23.52988484574127500000","-46.65527643333265000000","sao paulo","SP"
"01153","-23.52993084629874000000","-46.65354908690434000000","são paulo","SP"
"01154","-23.53053589724994000000","-46.65929570388057000000","sao paulo","SP"
"01155","-23.52907288402515500000","-46.66331995168207000000","sao paulo","SP"
"01156","-23.52892113830292000000","-46.66643724514501000000","são paulo","SP"
"01189","-23.53210825506378000000","-46.63839470107914000000","sao paulo","SP"
"01200","-23.53156777324141300000","-46.64986907784642000000","sao paulo","SP"
"01201","-23.53608280967417700000","-46.64953939046930000000","sao paulo","SP"
"01202","-23.53374257645931800000","-46.64828045105448000000","são paulo","SP"
"01203","-23.53596465666131000000","-46.64529955632679000000","sao paulo","SP"
"01204","-23.53599263946852000000","-46.64408982260721000000","sao paulo","SP"
"01205","-23.53649077489396600000","-46.64264196680963400000","são paulo","SP"
"01206","-23.53586368511746200000","-46.64281871336397000000","sao paulo","SP"
"01207","-23.53917556013519000000","-46.63865415001012000000","sao paulo","SP"
"01208","-23.53866049566225600000","-46.63898204602016000000","sao paulo","SP"
"01209","-23.54069525556605300000","-46.64158293572281600000","sao paulo","SP"
"01210","-23.54003934055891600000","-46.64209131081345000000","são paulo","SP"
"01211","-23.53757657410565000000","-46.64883790118900000000","sao paulo","SP"
"01212","-23.53826851179066200000","-46.63942263256764000000","são paulo","SP"
"01213","-23.53650149461516000000","-46.64036116340707000000","sao paulo","SP"
"01214","-23.53884249396187000000","-46.64523045306012000000","sao paulo","SP"
"01215","-23.53616739991495000000","-46.64754185786534000000","são paulo","SP"
"01216","-23.53312759396449700000","-46.64783380745067000000","sao paulo","SP"
"01217","-23.53265755783647300000","-46.64888399298628500000","sao paulo","SP"
"01218","-23.53124979886405000000","-46.64832514105406000000","são paulo","SP"
"01219","-23.54128881428636400000","-46.64569860301067000000","sao paulo","SP"
"01220","-23.54451401110975000000","-46.64603990221943000000","sao paulo","SP"
"01221","-23.54486769747209300000","-46.64828171537102000000","sao paulo","SP"
"01222","-23.54594454397298000000","-46.64936937401518000000","são paulo","SP"
"01223","-23.54408811655857000000","-46.64858211715018000000","sao paulo","SP"
"01224","-23.54177865147578000000","-46.65242233963951400000","sao paulo","SP"
"01225","-23.53978602121372500000","-46.64913883151014000000","sao paulo","SP"
"01226","-23.53801010890567400000","-46.65271926812754000000","são paulo","SP"
"01227","-23.54620191296879000000","-46.65838458273400000000","sao paulo","SP"
"01228","-23.54518937928602000000","-46.65761085698850500000","sao paulo","SP"
"01229","-23.53890160984344000000","-46.65729113037680500000","sao paulo","SP"
"01230","-23.53631040591802000000","-46.65711200863415000000","sao paulo","SP"
"01231","-23.53695040742612600000","-46.65925589278493400000","sao paulo","SP"
"01232","-23.53642800353019400000","-46.65742601137803500000","sao paulo","SP"
"01233","-23.53624654014996400000","-46.66166521796584000000","sao paulo","SP"
"01234","-23.53968956225154200000","-46.66424403546397000000","sao paulo","SP"
"01235","-23.53671427686228000000","-46.66466630391698000000","sao paulo","SP"
"01236","-23.54355022443134300000","-46.66741941090643000000","sao paulo","SP"
"01237","-23.54323445101232400000","-46.66872440228904000000","sao paulo","SP"
"01238","-23.54257139685112700000","-46.65424333104065000000","sao paulo","SP"
"01239","-23.54309527008478000000","-46.63105919621764000000","sao paulo","SP"
"01240","-23.54379184344285000000","-46.65854396252987000000","sao paulo","SP"
"01241","-23.54552478660238000000","-46.65784019308334500000","são paulo","SP"
"01242","-23.54650694708587700000","-46.65850174642454000000","sao paulo","SP"
"01243","-23.54812030499438000000","-46.65919184884557000000","sao paulo","SP"
"01244","-23.56204912797664000000","-46.65959031403357000000","sao paulo","SP"
"01245","-23.54947552384670000000","-46.66382107418295000000","são paulo","SP"
"01246","-23.55348129524967500000","-46.66631847703100500000","sao paulo","SP"
"01247","-23.55063807285042000000","-46.66865580450114000000","são paulo","SP"
"01248","-23.54791252484105000000","-46.66802631332551000000","sao paulo","SP"
"01249","-23.54841989244908000000","-46.67122044555848000000","sao paulo","SP"
"01250","-23.54764048307600000000","-46.67197263354334000000","sao paulo","SP"
"01251","-23.54837451640474200000","-46.67484647170288000000","são paulo","SP"
"01252","-23.54175397547087000000","-46.67893404000763000000","sao paulo","SP"
"01253","-23.54492912635291500000","-46.67916469208700000000","sao paulo","SP"
"01254","-23.54333742025504000000","-46.68085240293401000000","são paulo","SP"
"01255","-23.54636983531918000000","-46.68154172682528000000","sao paulo","SP"
"01256","-23.54777325617462600000","-46.68283834915458600000","são paulo","SP"
"01257","-23.54360983905433000000","-46.68783857511076000000","sao paulo","SP"
"01258","-23.54403701732507000000","-46.68685091247138500000","sao paulo","SP"
"01259","-23.54141855384329300000","-46.68530389676935500000","sao paulo","SP"
"01262","-23.55085639146271200000","-46.67735184892536000000","sao paulo","SP"
"01290","-23.54096134139296000000","-46.65774870275258500000","são paulo","SP"
"01301","-23.54932897028123400000","-46.65089009868755500000","sao paulo","SP"
"01302","-23.54900292126230000000","-46.64955227863609400000","sao paulo","SP"
"01303","-23.54950569815466500000","-46.64843251428849000000","sao paulo","SP"
"01304","-23.55405643481118400000","-46.65520236871312000000","sao paulo","SP"
"01305","-23.55262273586526000000","-46.65253828877208000000","sao paulo","SP"
"01306","-23.55378520671891400000","-46.64960509694539000000","sao paulo","SP"
"01307","-23.55277801011573400000","-46.65320770049066000000","sao paulo","SP"
"01308","-23.55598137361449300000","-46.65331111428111000000","sao paulo","SP"
"01309","-23.55549308001593000000","-46.65845218950066500000","são paulo","SP"
"01310","-23.56165294846951000000","-46.65602130430725000000","sao paulo","SP"
"01311","-23.56450460938095000000","-46.65279265595322000000","sao paulo","SP"
"01312","-23.55479387261339000000","-46.64961491794627000000","sao paulo","SP"
"01313","-23.55611169915837500000","-46.65057380587252000000","sao paulo","SP"
"01314","-23.55264073446125300000","-46.64520437763301400000","sao paulo","SP"
"01315","-23.55408999997804300000","-46.64038909569764000000","sao paulo","SP"
"01316","-23.55295484539391300000","-46.63943281932129000000","sao paulo","SP"
"01317","-23.55623821364504000000","-46.64005986522848000000","sao paulo","SP"
"01318","-23.55944798988812700000","-46.64241273733221000000","sao paulo","SP"
"01319","-23.55188165773141800000","-46.64072797271628000000","são paulo","SP"
"01320","-23.55795506229196700000","-46.63934739932539500000","sao paulo","SP"
"01321","-23.56212863488457600000","-46.64191854981315000000","sao paulo","SP"
"01322","-23.56317165882957000000","-46.64345614157523600000","sao paulo","SP"
"01323","-23.56573478465023200000","-46.64147810312642000000","sao paulo","SP"
"01324","-23.55521473546573000000","-46.64315074020321000000","sao paulo","SP"
"01325","-23.55739016349768300000","-46.64445833667601000000","sao paulo","SP"
"01326","-23.55653901468895500000","-46.64543956179801400000","sao paulo","SP"
"01327","-23.56511342471443300000","-46.64494457932876500000","sao paulo","SP"
"01328","-23.55599268648501000000","-46.64679480230546000000","sao paulo","SP"
"01329","-23.56197752132480300000","-46.64728109566715000000","sao paulo","SP"
"01330","-23.55903788611603000000","-46.64945883730207000000","sao paulo","SP"
"01331","-23.56266441471217400000","-46.64999665805781600000","sao paulo","SP"
"01332","-23.55956858757865000000","-46.65245164487604000000","sao paulo","SP"
"01333","-23.56643505240895000000","-46.64756359661896600000","sao paulo","SP"
"01401","-23.57580725035169400000","-46.65865462724655000000","sao paulo","SP"
"01402","-23.57483739004907000000","-46.65739203989355000000","sao paulo","SP"
"01403","-23.56875503877107000000","-46.65340944414582000000","são paulo","SP"
"01404","-23.56854473362845700000","-46.65578027665806400000","sao paulo","SP"
"01405","-23.56476257963440400000","-46.65513838518371000000","sao paulo","SP"
"01406","-23.57481433896783000000","-46.67029927274052000000","são paulo","SP"
"01407","-23.57611188442897200000","-46.67139205737761000000","sao paulo","SP"
"01408","-23.56711189502812000000","-46.66081341581777000000","sao paulo","SP"
"01409","-23.56146082458663000000","-46.65826200391770000000","sao paulo","SP"
"01410","-23.56283144586961000000","-46.66092524802456000000","sao paulo","SP"
"01411","-23.56424786754299200000","-46.66405956794993400000","sao paulo","SP"
"01412","-23.56365158073766600000","-46.66602412107524600000","são paulo","SP"
"01413","-23.56181450412446300000","-46.66403395427191500000","são paulo","SP"
"01414","-23.55962349371968400000","-46.66349645532060000000","são paulo","SP"
"01415","-23.55609171648326000000","-46.66046219837560500000","sao paulo","SP"
"01416","-23.56069291396141800000","-46.66768853267049600000","sao paulo","SP"
"01417","-23.55277885309958600000","-46.63393189503632000000","sao paulo","SP"
"01418","-23.56411614903986000000","-46.65527239864382000000","sao paulo","SP"
"01419","-23.56354162000977600000","-46.65594961304885000000","sao paulo","SP"
"01420","-23.56343549049880000000","-46.65791603919699000000","sao paulo","SP"
"01421","-23.56329926496879400000","-46.66015369245716000000","são paulo","SP"
"01422","-23.56396191070736000000","-46.66113236841588500000","sao paulo","SP"
"01423","-23.56914511719341000000","-46.65734766505129000000","sao paulo","SP"
"01424","-23.56804145680593000000","-46.66139884320942000000","sao paulo","SP"
"01425","-23.57289853249543300000","-46.65924739236763000000","sao paulo","SP"
