"year","month","monthly_average_order_value"
"2016","10","165.130177"
"2016","12","19.620000"
"2017","1","159.631627"
"2017","2","155.116438"
"2017","3","153.470144"
"2017","4","160.489401"
"2017","5","149.740356"
"2017","6","147.525008"
"2017","7","136.581608"
"2017","8","147.052267"
"2017","9","160.414091"
"2017","10","159.885115"
"2017","11","151.919933"
"2017","12","147.180864"
"2018","1","146.729269"
"2018","2","142.637379"
"2018","3","153.580650"
"2018","4","160.313280"
"2018","5","161.216322"
"2018","6","159.384359"
"2018","7","161.366383"
"2018","8","150.790249"
