"category","year","month","revenue"
"bed_bath_table","2016","10","478.99"
"bed_bath_table","2017","1","3804.36"
"bed_bath_table","2017","2","15572.13"
"bed_bath_table","2017","3","25120.02"
"bed_bath_table","2017","4","24092.89"
"bed_bath_table","2017","5","32684.60"
"bed_bath_table","2017","6","33803.23"
"bed_bath_table","2017","7","62786.96"
"bed_bath_table","2017","8","56580.63"
"bed_bath_table","2017","9","52105.61"
"bed_bath_table","2017","10","46007.70"
"bed_bath_table","2017","11","87957.63"
"bed_bath_table","2017","12","50081.16"
"bed_bath_table","2018","1","75408.13"
"bed_bath_table","2018","2","60366.29"
"bed_bath_table","2018","3","67786.35"
"bed_bath_table","2018","4","71379.61"
"bed_bath_table","2018","5","71265.07"
"bed_bath_table","2018","6","70857.08"
"bed_bath_table","2018","7","54405.23"
"bed_bath_table","2018","8","60891.09"
"computers_accessories","2016","10","669.02"
"computers_accessories","2017","1","3924.14"
"computers_accessories","2017","2","11319.09"
"computers_accessories","2017","3","28078.80"
"computers_accessories","2017","4","18353.46"
"computers_accessories","2017","5","44759.39"
"computers_accessories","2017","6","36193.70"
"computers_accessories","2017","7","38176.22"
"computers_accessories","2017","8","33826.47"
"computers_accessories","2017","9","28040.65"
"computers_accessories","2017","10","42009.38"
"computers_accessories","2017","11","69676.32"
"computers_accessories","2017","12","37428.67"
"computers_accessories","2018","1","80503.87"
"computers_accessories","2018","2","100131.99"
"computers_accessories","2018","3","84708.39"
"computers_accessories","2018","4","57370.90"
"computers_accessories","2018","5","50631.83"
"computers_accessories","2018","6","41806.37"
"computers_accessories","2018","7","41063.31"
"computers_accessories","2018","8","40052.64"
"health_beauty","2016","9","134.97"
"health_beauty","2016","10","3439.25"
"health_beauty","2017","1","12366.44"
"health_beauty","2017","2","22059.92"
"health_beauty","2017","3","25652.45"
"health_beauty","2017","4","22156.34"
"health_beauty","2017","5","46340.06"
"health_beauty","2017","6","31676.81"
"health_beauty","2017","7","34239.45"
"health_beauty","2017","8","49030.23"
"health_beauty","2017","9","50649.16"
"health_beauty","2017","10","40698.99"
"health_beauty","2017","11","78274.40"
"health_beauty","2017","12","60688.75"
"health_beauty","2018","1","71405.60"
"health_beauty","2018","2","84576.55"
"health_beauty","2018","3","84488.57"
"health_beauty","2018","4","91058.45"
"health_beauty","2018","5","94534.38"
"health_beauty","2018","6","106745.72"
"health_beauty","2018","7","103524.22"
"health_beauty","2018","8","119391.01"
"sports_leisure","2016","10","2012.15"
"sports_leisure","2017","1","9212.14"
"sports_leisure","2017","2","15629.98"
"sports_leisure","2017","3","25472.89"
"sports_leisure","2017","4","22997.06"
"sports_leisure","2017","5","34101.73"
"sports_leisure","2017","6","32066.93"
"sports_leisure","2017","7","36618.83"
"sports_leisure","2017","8","40624.77"
"sports_leisure","2017","9","48972.11"
"sports_leisure","2017","10","48568.98"
"sports_leisure","2017","11","62686.24"
"sports_leisure","2017","12","58722.48"
"sports_leisure","2018","1","86172.83"
"sports_leisure","2018","2","74540.95"
"sports_leisure","2018","3","81656.96"
"sports_leisure","2018","4","65793.52"
"sports_leisure","2018","5","59209.92"
"sports_leisure","2018","6","44916.01"
"sports_leisure","2018","7","54015.89"
"sports_leisure","2018","8","50860.18"
"watches_gifts","2016","10","2711.07"
"watches_gifts","2017","1","8086.52"
"watches_gifts","2017","2","10992.39"
"watches_gifts","2017","3","24892.38"
"watches_gifts","2017","4","23336.09"
"watches_gifts","2017","5","36619.48"
"watches_gifts","2017","6","27337.63"
"watches_gifts","2017","7","33702.42"
"watches_gifts","2017","8","36170.95"
"watches_gifts","2017","9","44748.96"
"watches_gifts","2017","10","64874.63"
"watches_gifts","2017","11","95292.34"
"watches_gifts","2017","12","69556.92"
"watches_gifts","2018","1","73521.24"
"watches_gifts","2018","2","60725.31"
"watches_gifts","2018","3","95661.18"
"watches_gifts","2018","4","88623.07"
"watches_gifts","2018","5","119364.98"
"watches_gifts","2018","6","85027.57"
"watches_gifts","2018","7","95164.79"
"watches_gifts","2018","8","69767.06"
